"customer_id","txn_month","closing_balance"
33,"2020-04",989
34,"2020-01",976
34,"2020-02",-347
34,"2020-03",-185
34,"2020-04",-185
35,"2020-01",507
35,"2020-02",-821
35,"2020-03",-1163
35,"2020-04",-1163
36,"2020-01",149
36,"2020-02",290
36,"2020-03",1041
36,"2020-04",427
37,"2020-01",85
37,"2020-02",902
37,"2020-03",-1069
37,"2020-04",-959
38,"2020-01",367
38,"2020-02",-465
38,"2020-03",-798
38,"2020-04",-1246
39,"2020-01",1429
39,"2020-02",2388
39,"2020-03",2460
39,"2020-04",2516
40,"2020-01",347
40,"2020-02",295
40,"2020-03",659
40,"2020-04",-208
41,"2020-01",-46
41,"2020-02",1379
41,"2020-03",3441
41,"2020-04",2525
42,"2020-01",447
42,"2020-02",1067
42,"2020-03",-887
42,"2020-04",-1886
43,"2020-01",-201
43,"2020-02",-406
43,"2020-03",869
43,"2020-04",545
44,"2020-01",-690
44,"2020-02",-19
44,"2020-03",-19
44,"2020-04",-339
45,"2020-01",940
45,"2020-02",-1152
45,"2020-03",584
45,"2020-04",584
46,"2020-01",522
46,"2020-02",1388
46,"2020-03",80
46,"2020-04",104
47,"2020-01",-1153
47,"2020-02",-1283
47,"2020-03",-2862
47,"2020-04",-3169
48,"2020-01",-2368
48,"2020-02",-2972
48,"2020-03",-3745
48,"2020-04",-3745
49,"2020-01",-397
49,"2020-02",-594
49,"2020-03",-2556
49,"2020-04",-2556
50,"2020-01",931
50,"2020-02",-674
50,"2020-03",275
50,"2020-04",450
51,"2020-01",301
51,"2020-02",-97
51,"2020-03",779
51,"2020-04",1364
52,"2020-01",1140
52,"2020-02",2612
52,"2020-03",2612
52,"2020-04",2612
53,"2020-01",22
53,"2020-02",210
53,"2020-03",-728
53,"2020-04",227
54,"2020-01",1658
54,"2020-02",1629
54,"2020-03",533
54,"2020-04",968
55,"2020-01",380
55,"2020-02",-410
55,"2020-03",349
55,"2020-04",-513
56,"2020-01",-67
56,"2020-02",-1646
56,"2020-03",-2075
56,"2020-04",-3866
57,"2020-01",414
57,"2020-02",-101
57,"2020-03",-866
57,"2020-04",-866
58,"2020-01",383
58,"2020-02",1697
58,"2020-03",-1196
58,"2020-04",-635
59,"2020-01",924
59,"2020-02",2190
59,"2020-03",1652
59,"2020-04",798
60,"2020-01",-189
60,"2020-02",668
60,"2020-03",-745
60,"2020-04",-1169
61,"2020-01",222
61,"2020-02",323
61,"2020-03",-1710
61,"2020-04",-2237
62,"2020-01",-212
62,"2020-02",-212
62,"2020-03",-763
62,"2020-04",-763
63,"2020-01",-332
63,"2020-02",-953
63,"2020-03",-3946
63,"2020-04",-3946
64,"2020-01",2332
64,"2020-02",1554
64,"2020-03",245
64,"2020-04",245
65,"2020-01",25
65,"2020-02",25
65,"2020-03",-450
65,"2020-04",-1381
66,"2020-01",1971
66,"2020-02",1492
66,"2020-03",-517
66,"2020-04",-517
67,"2020-01",1593
67,"2020-02",2565
67,"2020-03",2050
67,"2020-04",1222
68,"2020-01",574
68,"2020-02",278
68,"2020-03",-456
68,"2020-04",-456
69,"2020-01",23
69,"2020-02",-1944
69,"2020-03",-2338
69,"2020-04",-3085
70,"2020-01",-584
70,"2020-02",-63
70,"2020-03",-1814
70,"2020-04",-1814
71,"2020-01",128
71,"2020-02",-673
71,"2020-03",-1265
71,"2020-04",-1265
72,"2020-01",796
72,"2020-02",-803
72,"2020-03",-1680
72,"2020-04",-2327
73,"2020-01",513
73,"2020-02",513
73,"2020-03",513
73,"2020-04",513
74,"2020-01",229
74,"2020-02",229
74,"2020-03",318
74,"2020-04",318
75,"2020-01",234
75,"2020-02",294
75,"2020-03",294
75,"2020-04",294
76,"2020-01",925
76,"2020-02",2081
76,"2020-03",435
76,"2020-04",435
77,"2020-01",120
77,"2020-02",501
77,"2020-03",797
77,"2020-04",797
78,"2020-01",694
78,"2020-02",-762
78,"2020-03",-717
78,"2020-04",-976
79,"2020-01",521
79,"2020-02",1380
79,"2020-03",1380
79,"2020-04",1380
80,"2020-01",795
80,"2020-02",1190
80,"2020-03",622
80,"2020-04",199
81,"2020-01",403
81,"2020-02",-957
81,"2020-03",-1106
81,"2020-04",-1984
82,"2020-01",-3912
82,"2020-02",-3986
82,"2020-03",-3249
82,"2020-04",-4614
83,"2020-01",1099
83,"2020-02",-692
83,"2020-03",-742
83,"2020-04",-377
84,"2020-01",968
84,"2020-02",968
84,"2020-03",609
84,"2020-04",609
85,"2020-01",467
85,"2020-02",467
85,"2020-03",1076
85,"2020-04",646
86,"2020-01",872
86,"2020-02",-504
86,"2020-03",93
86,"2020-04",93
87,"2020-01",-365
87,"2020-02",-1366
87,"2020-03",-1563
87,"2020-04",-1195
88,"2020-01",-35
88,"2020-02",752
88,"2020-03",-736
88,"2020-04",-820
89,"2020-01",210
89,"2020-02",-1679
89,"2020-03",-2653
89,"2020-04",-3147
90,"2020-01",1772
90,"2020-02",-1235
90,"2020-03",-1624
90,"2020-04",-1846
91,"2020-01",-47
91,"2020-02",-959
91,"2020-03",-2660
91,"2020-04",-2495
92,"2020-01",985
92,"2020-02",985
92,"2020-03",142
92,"2020-04",142
93,"2020-01",399
93,"2020-02",1103
93,"2020-03",1186
93,"2020-04",968
94,"2020-01",-766
94,"2020-02",-1496
94,"2020-03",-1542
94,"2020-04",-1542
95,"2020-01",217
95,"2020-02",960
95,"2020-03",1446
95,"2020-04",1446
96,"2020-01",1048
96,"2020-02",1537
96,"2020-03",942
96,"2020-04",942
97,"2020-01",623
97,"2020-02",-240
97,"2020-03",-2483
97,"2020-04",-2483
98,"2020-01",622
98,"2020-02",287
98,"2020-03",-95
98,"2020-04",750
99,"2020-01",949
99,"2020-02",760
99,"2020-03",737
99,"2020-04",737
100,"2020-01",1081
100,"2020-02",-497
100,"2020-03",-1451
100,"2020-04",-1451
101,"2020-01",-484
101,"2020-02",-1324
101,"2020-03",-2673
101,"2020-04",-2673
102,"2020-01",917
102,"2020-02",1428
102,"2020-03",1865
102,"2020-04",646
103,"2020-01",240
103,"2020-02",-850
103,"2020-03",-2257
103,"2020-04",-2257
104,"2020-01",615
104,"2020-02",1087
104,"2020-03",1190
104,"2020-04",1190
105,"2020-01",1014
105,"2020-02",166
105,"2020-03",27
105,"2020-04",-186
106,"2020-01",-109
106,"2020-02",846
106,"2020-03",-111
106,"2020-04",-1462
107,"2020-01",-144
107,"2020-02",-690
107,"2020-03",-690
107,"2020-04",-690
108,"2020-01",530
108,"2020-02",738
108,"2020-03",1546
108,"2020-04",2680
109,"2020-01",429
109,"2020-02",2491
109,"2020-03",2491
109,"2020-04",2491
110,"2020-01",1258
110,"2020-02",1198
110,"2020-03",2233
110,"2020-04",2233
111,"2020-01",101
111,"2020-02",463
111,"2020-03",99
111,"2020-04",99
112,"2020-01",945
112,"2020-02",893
112,"2020-03",-116
112,"2020-04",-116
113,"2020-01",-511
113,"2020-02",62
113,"2020-03",12
113,"2020-04",-1140
114,"2020-01",743
114,"2020-02",743
114,"2020-03",169
114,"2020-04",1143
115,"2020-01",144
115,"2020-02",-845
115,"2020-03",884
115,"2020-04",-41
116,"2020-01",167
116,"2020-02",53
116,"2020-03",543
116,"2020-04",330
117,"2020-01",-25
117,"2020-02",-216
117,"2020-03",-706
117,"2020-04",-706
118,"2020-01",-683
118,"2020-02",-513
118,"2020-03",-1427
118,"2020-04",-1427
119,"2020-01",62
119,"2020-02",62
119,"2020-03",-907
119,"2020-04",-490
120,"2020-01",824
120,"2020-02",1913
120,"2020-03",-900
120,"2020-04",-1465
121,"2020-01",1992
121,"2020-02",1296
121,"2020-03",-425
121,"2020-04",-425
122,"2020-01",314
122,"2020-02",252
122,"2020-03",1347
122,"2020-04",1066
123,"2020-01",-717
123,"2020-02",-2277
123,"2020-03",-1584
123,"2020-04",-2128
124,"2020-01",731
124,"2020-02",1878
124,"2020-03",1301
124,"2020-04",1301
125,"2020-01",-791
125,"2020-02",-2479
125,"2020-03",-2436
125,"2020-04",-2436
126,"2020-01",-786
126,"2020-02",-716
126,"2020-03",-2822
126,"2020-04",-2822
127,"2020-01",217
127,"2020-02",703
127,"2020-03",703
127,"2020-04",1672
128,"2020-01",410
128,"2020-02",144
128,"2020-03",-776
128,"2020-04",-202
129,"2020-01",466
129,"2020-02",-796
129,"2020-03",68
129,"2020-04",-2007
130,"2020-01",-248
130,"2020-02",-1160
130,"2020-03",132
130,"2020-04",132
131,"2020-01",480
131,"2020-02",-983
131,"2020-03",-152
131,"2020-04",-152
132,"2020-01",-1254
132,"2020-02",-2844
132,"2020-03",-5256
132,"2020-04",-5585
133,"2020-01",-356
133,"2020-02",-368
133,"2020-03",-368
133,"2020-04",-368
134,"2020-01",3194
134,"2020-02",2748
134,"2020-03",1768
134,"2020-04",1768
135,"2020-01",104
135,"2020-02",977
135,"2020-03",1001
135,"2020-04",1001
136,"2020-01",479
136,"2020-02",966
136,"2020-03",383
136,"2020-04",-133
137,"2020-01",396
137,"2020-02",-356
137,"2020-03",-356
137,"2020-04",-356
138,"2020-01",1316
138,"2020-02",320
138,"2020-03",75
138,"2020-04",-775
139,"2020-01",44
139,"2020-02",504
139,"2020-03",537
139,"2020-04",537
140,"2020-01",803
140,"2020-02",1526
140,"2020-03",2345
140,"2020-04",1495
141,"2020-01",-369
141,"2020-02",1483
141,"2020-03",2113
141,"2020-04",2538
142,"2020-01",1378
142,"2020-02",440
142,"2020-03",217
142,"2020-04",863
143,"2020-01",807
143,"2020-02",1625
143,"2020-03",26
143,"2020-04",-2457
144,"2020-01",-735
144,"2020-02",-3280
144,"2020-03",-3046
144,"2020-04",-4395
145,"2020-01",-3051
145,"2020-02",-1970
145,"2020-03",-4119
145,"2020-04",-4119
146,"2020-01",-807
146,"2020-02",-3267
146,"2020-03",-3781
146,"2020-04",-3717
147,"2020-01",600
147,"2020-02",1698
147,"2020-03",1698
147,"2020-04",1698
148,"2020-01",88
148,"2020-02",-2467
148,"2020-03",-2076
148,"2020-04",-2730
149,"2020-01",344
149,"2020-02",321
149,"2020-03",-202
149,"2020-04",-202
150,"2020-01",-600
150,"2020-02",-1512
150,"2020-03",-1604
150,"2020-04",-2429
151,"2020-01",1367
151,"2020-02",5
151,"2020-03",-887
151,"2020-04",-887
152,"2020-01",1831
152,"2020-02",1902
152,"2020-03",1984
152,"2020-04",1984
153,"2020-01",-1954
153,"2020-02",-776
153,"2020-03",-1695
153,"2020-04",-1695
154,"2020-01",-1392
154,"2020-02",-2340
154,"2020-03",-2104
154,"2020-04",-2555
155,"2020-01",-996
155,"2020-02",-2941
155,"2020-03",-3377
155,"2020-04",-4530
156,"2020-01",82
156,"2020-02",82
156,"2020-03",82
156,"2020-04",312
157,"2020-01",138
157,"2020-02",-611
157,"2020-03",2766
157,"2020-04",2766
158,"2020-01",56
158,"2020-02",-136
158,"2020-03",-1106
158,"2020-04",-1106
159,"2020-01",-301
159,"2020-02",-301
159,"2020-03",-301
159,"2020-04",-301
160,"2020-01",843
160,"2020-02",543
160,"2020-03",-69
160,"2020-04",-307
161,"2020-01",-1121
161,"2020-02",-961
161,"2020-03",-291
161,"2020-04",-291
162,"2020-01",123
162,"2020-02",784
162,"2020-03",784
162,"2020-04",784
163,"2020-01",-73
163,"2020-02",-328
163,"2020-03",-3116
163,"2020-04",-3055
164,"2020-01",548
164,"2020-02",957
164,"2020-03",957
164,"2020-04",957
165,"2020-01",-61
165,"2020-02",-1088
165,"2020-03",-3701
165,"2020-04",-3931
166,"2020-01",957
166,"2020-02",1546
166,"2020-03",1303
166,"2020-04",1783
167,"2020-01",51
167,"2020-02",574
167,"2020-03",-566
167,"2020-04",-748
168,"2020-01",114
168,"2020-02",-801
168,"2020-03",-801
168,"2020-04",-801
169,"2020-01",-569
169,"2020-02",-1190
169,"2020-03",9
169,"2020-04",906
170,"2020-01",-38
170,"2020-02",-373
170,"2020-03",-137
170,"2020-04",-850
171,"2020-01",-197
171,"2020-02",-1400
171,"2020-03",-1921
171,"2020-04",-911
172,"2020-01",-174
172,"2020-02",-174
172,"2020-03",-1038
172,"2020-04",-1038
173,"2020-01",1298
173,"2020-02",1398
173,"2020-03",912
173,"2020-04",121
174,"2020-01",1142
174,"2020-02",-98
174,"2020-03",-1135
174,"2020-04",644
175,"2020-01",-326
175,"2020-02",-755
175,"2020-03",-1822
175,"2020-04",-1549
176,"2020-01",655
176,"2020-02",605
176,"2020-03",-531
176,"2020-04",-1067
177,"2020-01",405
177,"2020-02",-156
177,"2020-03",800
177,"2020-04",-974
178,"2020-01",252
178,"2020-02",387
178,"2020-03",390
178,"2020-04",-1983
179,"2020-01",-1754
179,"2020-02",-3386
179,"2020-03",-7953
179,"2020-04",-7953
180,"2020-01",-838
180,"2020-02",-1808
180,"2020-03",-2804
180,"2020-04",-3175
181,"2020-01",-47
181,"2020-02",-843
181,"2020-03",-2640
181,"2020-04",-2640
182,"2020-01",97
182,"2020-02",-45
182,"2020-03",-843
182,"2020-04",-159
183,"2020-01",-540
183,"2020-02",-3729
183,"2020-03",-6083
183,"2020-04",-6560
184,"2020-01",472
184,"2020-02",-331
184,"2020-03",-2530
184,"2020-04",-3178
185,"2020-01",626
185,"2020-02",-11
185,"2020-03",-1001
185,"2020-04",-505
186,"2020-01",534
186,"2020-02",1345
186,"2020-03",1930
186,"2020-04",1284
187,"2020-01",-211
187,"2020-02",-1379
187,"2020-03",-3060
187,"2020-04",-2272
188,"2020-01",-184
188,"2020-02",1013
188,"2020-03",52
188,"2020-04",-475
189,"2020-01",-838
189,"2020-02",-2101
189,"2020-03",-4007
189,"2020-04",-4007
190,"2020-01",14
190,"2020-02",459
190,"2020-03",523
190,"2020-04",1178
191,"2020-01",1632
191,"2020-02",1306
191,"2020-03",1036
191,"2020-04",879
192,"2020-01",2526
192,"2020-02",-689
192,"2020-03",383
192,"2020-04",1139
193,"2020-01",689
193,"2020-02",689
193,"2020-03",486
193,"2020-04",486
194,"2020-01",137
194,"2020-02",-2211
194,"2020-03",178
194,"2020-04",-697
195,"2020-01",489
195,"2020-02",489
195,"2020-03",406
195,"2020-04",406
196,"2020-01",734
196,"2020-02",1295
196,"2020-03",1382
196,"2020-04",1382
197,"2020-01",-446
197,"2020-02",137
197,"2020-03",1023
197,"2020-04",3685
198,"2020-01",1144
198,"2020-02",288
198,"2020-03",-1253
198,"2020-04",-757
199,"2020-01",530
199,"2020-02",515
199,"2020-03",-14
199,"2020-04",-220
200,"2020-01",997
200,"2020-02",1356
200,"2020-03",2914
200,"2020-04",2853
201,"2020-01",-383
201,"2020-02",-292
201,"2020-03",1529
201,"2020-04",1529
202,"2020-01",-530
202,"2020-02",-916
202,"2020-03",-2415
202,"2020-04",-2415
203,"2020-01",2528
203,"2020-02",3471
203,"2020-03",3461
203,"2020-04",3437
204,"2020-01",749
204,"2020-02",1039
204,"2020-03",1587
204,"2020-04",1893
205,"2020-01",-82
205,"2020-02",1211
205,"2020-03",1067
205,"2020-04",1067
206,"2020-01",-215
206,"2020-02",-949
206,"2020-03",-4974
206,"2020-04",-5374
207,"2020-01",322
207,"2020-02",-1954
207,"2020-03",-2152
207,"2020-04",-1014
208,"2020-01",537
208,"2020-02",406
208,"2020-03",406
208,"2020-04",1361
209,"2020-01",-202
209,"2020-02",-766
209,"2020-03",-1266
209,"2020-04",-2351
210,"2020-01",60
210,"2020-02",-1361
210,"2020-03",-1309
210,"2020-04",-792
211,"2020-01",607
211,"2020-02",1839
211,"2020-03",257
211,"2020-04",-602
212,"2020-01",-336
212,"2020-02",481
212,"2020-03",3529
212,"2020-04",3529
213,"2020-01",-239
213,"2020-02",-1199
213,"2020-03",-1184
213,"2020-04",-1717
214,"2020-01",-445
214,"2020-02",-1511
214,"2020-03",83
214,"2020-04",802
215,"2020-01",822
215,"2020-02",1770
215,"2020-03",697
215,"2020-04",414
216,"2020-01",1619
216,"2020-02",3302
216,"2020-03",872
216,"2020-04",-110
217,"2020-01",870
217,"2020-02",1839
217,"2020-03",9
217,"2020-04",9
218,"2020-01",208
218,"2020-02",-1620
218,"2020-03",-465
218,"2020-04",1167
219,"2020-01",165
219,"2020-02",-845
219,"2020-03",1108
219,"2020-04",306
220,"2020-01",307
220,"2020-02",714
220,"2020-03",-29
220,"2020-04",-958
221,"2020-01",1384
221,"2020-02",1481
221,"2020-03",1055
221,"2020-04",1055
222,"2020-01",657
222,"2020-02",1997
222,"2020-03",1136
222,"2020-04",1532
223,"2020-01",396
223,"2020-02",-1100
223,"2020-03",-1723
223,"2020-04",-2435
224,"2020-01",487
224,"2020-02",-206
224,"2020-03",-1581
224,"2020-04",-1369
225,"2020-01",280
225,"2020-02",-89
225,"2020-03",297
225,"2020-04",297
226,"2020-01",-980
226,"2020-02",-586
226,"2020-03",-1855
226,"2020-04",-1430
227,"2020-01",-622
227,"2020-02",-1045
227,"2020-03",-2336
227,"2020-04",-3161
228,"2020-01",294
228,"2020-02",-253
228,"2020-03",-1724
228,"2020-04",-1724
229,"2020-01",621
229,"2020-02",1618
229,"2020-03",703
229,"2020-04",703
230,"2020-01",499
230,"2020-02",990
230,"2020-03",2428
230,"2020-04",2356
231,"2020-01",-236
231,"2020-02",-534
231,"2020-03",-2010
231,"2020-04",-2475
232,"2020-01",1418
232,"2020-02",864
232,"2020-03",923
232,"2020-04",923
233,"2020-01",1795
233,"2020-02",2910
233,"2020-03",3742
233,"2020-04",3742
234,"2020-01",-200
234,"2020-02",322
234,"2020-03",-2276
234,"2020-04",-2276
235,"2020-01",-1963
235,"2020-02",-476
235,"2020-03",24
235,"2020-04",24
236,"2020-01",356
236,"2020-02",1059
236,"2020-03",924
236,"2020-04",-100
237,"2020-01",-174
237,"2020-02",136
237,"2020-03",1567
237,"2020-04",812
238,"2020-01",802
238,"2020-02",1270
238,"2020-03",1270
238,"2020-04",-479
239,"2020-01",-10
239,"2020-02",706
239,"2020-03",574
239,"2020-04",1871
240,"2020-01",1108
240,"2020-02",754
240,"2020-03",3200
240,"2020-04",3075
241,"2020-01",20
241,"2020-02",20
241,"2020-03",20
241,"2020-04",20
242,"2020-01",1143
242,"2020-02",-462
242,"2020-03",-1891
242,"2020-04",-3334
243,"2020-01",-368
243,"2020-02",-368
243,"2020-03",979
243,"2020-04",979
244,"2020-01",728
244,"2020-02",1752
244,"2020-03",1930
244,"2020-04",877
245,"2020-01",76
245,"2020-02",-341
245,"2020-03",-1791
245,"2020-04",-1021
246,"2020-01",506
246,"2020-02",584
246,"2020-03",277
246,"2020-04",-2132
247,"2020-01",983
247,"2020-02",577
247,"2020-03",297
247,"2020-04",297
248,"2020-01",304
248,"2020-02",667
248,"2020-03",955
248,"2020-04",1188
249,"2020-01",336
249,"2020-02",336
249,"2020-03",1065
249,"2020-04",895
250,"2020-01",149
250,"2020-02",0
250,"2020-03",177
250,"2020-04",-1555
251,"2020-01",1276
251,"2020-02",-924
251,"2020-03",-1230
251,"2020-04",-1883
252,"2020-01",289
252,"2020-02",289
252,"2020-03",289
252,"2020-04",133
253,"2020-01",-578
253,"2020-02",-577
253,"2020-03",-457
253,"2020-04",-484
254,"2020-01",36
254,"2020-02",-2883
254,"2020-03",-590
254,"2020-04",-590
255,"2020-01",253
255,"2020-02",129
255,"2020-03",-548
255,"2020-04",-548
256,"2020-01",1743
256,"2020-02",906
256,"2020-03",1152
256,"2020-04",1094
257,"2020-01",414
257,"2020-02",-1609
257,"2020-03",-472
257,"2020-04",-976
258,"2020-01",590
258,"2020-02",-1076
258,"2020-03",-2893
258,"2020-04",-1465
259,"2020-01",928
259,"2020-02",-267
259,"2020-03",-1458
259,"2020-04",-1458
260,"2020-01",1865
260,"2020-02",1865
260,"2020-03",1909
260,"2020-04",1909
261,"2020-01",746
261,"2020-02",1408
261,"2020-03",-329
261,"2020-04",-31
262,"2020-01",-1070
262,"2020-02",-2599
262,"2020-03",-2372
262,"2020-04",-2372
263,"2020-01",312
263,"2020-02",112
263,"2020-03",112
263,"2020-04",770
264,"2020-01",770
264,"2020-02",1545
264,"2020-03",2088
264,"2020-04",1295
265,"2020-01",-25
265,"2020-02",-1481
265,"2020-03",-2592
265,"2020-04",-1948
266,"2020-01",651
266,"2020-02",1455
266,"2020-03",787
266,"2020-04",1138
267,"2020-01",-193
267,"2020-02",-2068
267,"2020-03",-5236
267,"2020-04",-2442
268,"2020-01",1699
268,"2020-02",123
268,"2020-03",270
268,"2020-04",-218
269,"2020-01",-2665
269,"2020-02",-3985
269,"2020-03",-2470
269,"2020-04",-1864
270,"2020-01",1395
270,"2020-02",961
270,"2020-03",599
270,"2020-04",-442
271,"2020-01",-1586
271,"2020-02",272
271,"2020-03",-616
271,"2020-04",180
272,"2020-01",-228
272,"2020-02",-1673
272,"2020-03",-1673
272,"2020-04",-1769
273,"2020-01",876
273,"2020-02",133
273,"2020-03",-178
273,"2020-04",308
274,"2020-01",-780
274,"2020-02",-582
274,"2020-03",124
274,"2020-04",124
275,"2020-01",211
275,"2020-02",-1325
275,"2020-03",-2973
275,"2020-04",-3169
276,"2020-01",-851
276,"2020-02",-796
276,"2020-03",-1944
276,"2020-04",-1944
277,"2020-01",615
277,"2020-02",1411
277,"2020-03",1865
277,"2020-04",1865
278,"2020-01",1309
278,"2020-02",1723
278,"2020-03",2026
278,"2020-04",3554
279,"2020-01",1895
279,"2020-02",3641
279,"2020-03",4183
279,"2020-04",4103
280,"2020-01",-87
280,"2020-02",-185
280,"2020-03",-373
280,"2020-04",-373
281,"2020-01",220
281,"2020-02",1055
281,"2020-03",2192
281,"2020-04",3004
282,"2020-01",74
282,"2020-02",-713
282,"2020-03",-1661
282,"2020-04",-1311
283,"2020-01",-1201
283,"2020-02",-2818
283,"2020-03",-5721
283,"2020-04",-7145
284,"2020-01",257
284,"2020-02",-2602
284,"2020-03",-2826
284,"2020-04",-3379
285,"2020-01",360
285,"2020-02",1358
285,"2020-03",1965
285,"2020-04",1965
286,"2020-01",177
286,"2020-02",171
286,"2020-03",171
286,"2020-04",171
287,"2020-01",658
287,"2020-02",829
287,"2020-03",886
287,"2020-04",-406
288,"2020-01",778
288,"2020-02",-867
288,"2020-03",-515
288,"2020-04",-515
289,"2020-01",838
289,"2020-02",-207
289,"2020-03",-934
289,"2020-04",-1059
290,"2020-01",785
290,"2020-02",1139
290,"2020-03",2061
290,"2020-04",21
291,"2020-01",930
291,"2020-02",930
291,"2020-03",930
291,"2020-04",531
292,"2020-01",-3458
292,"2020-02",-4646
292,"2020-03",-4760
292,"2020-04",-4760
293,"2020-01",-383
293,"2020-02",-1452
293,"2020-03",-1770
293,"2020-04",-2500
294,"2020-01",307
294,"2020-02",1557
294,"2020-03",707
294,"2020-04",707
295,"2020-01",636
295,"2020-02",496
295,"2020-03",1430
295,"2020-04",-177
296,"2020-01",191
296,"2020-02",1152
296,"2020-03",1309
296,"2020-04",2220
297,"2020-01",550
297,"2020-02",585
297,"2020-03",1004
297,"2020-04",1282
298,"2020-01",278
298,"2020-02",-580
298,"2020-03",767
298,"2020-04",1489
299,"2020-01",961
299,"2020-02",1246
299,"2020-03",70
299,"2020-04",70
300,"2020-01",672
300,"2020-02",-949
300,"2020-03",-2374
300,"2020-04",-3179
301,"2020-01",-906
301,"2020-02",-1977
301,"2020-03",-3636
301,"2020-04",-3529
302,"2020-01",-1499
302,"2020-02",-2077
302,"2020-03",-2410
302,"2020-04",-1795
303,"2020-01",332
303,"2020-02",465
303,"2020-03",-629
303,"2020-04",-660
304,"2020-01",152
304,"2020-02",-1360
304,"2020-03",-2420
304,"2020-04",-2047
305,"2020-01",20
305,"2020-02",189
305,"2020-03",-56
305,"2020-04",-56
306,"2020-01",402
306,"2020-02",402
306,"2020-03",0
306,"2020-04",1565
307,"2020-01",-696
307,"2020-02",750
307,"2020-03",525
307,"2020-04",62
308,"2020-01",-561
308,"2020-02",316
308,"2020-03",710
308,"2020-04",971
309,"2020-01",-363
309,"2020-02",-2404
309,"2020-03",-1813
309,"2020-04",-960
310,"2020-01",860
310,"2020-02",156
310,"2020-03",3066
310,"2020-04",3066
311,"2020-01",310
311,"2020-02",1006
311,"2020-03",-955
311,"2020-04",-1055
312,"2020-01",485
312,"2020-02",656
312,"2020-03",-1065
312,"2020-04",-2318
313,"2020-01",901
313,"2020-02",972
313,"2020-03",-1311
313,"2020-04",-34
314,"2020-01",448
314,"2020-02",-633
314,"2020-03",91
314,"2020-04",-249
315,"2020-01",1295
315,"2020-02",1349
315,"2020-03",2287
315,"2020-04",2287
316,"2020-01",184
316,"2020-02",-2483
316,"2020-03",-3299
316,"2020-04",-3299
317,"2020-01",869
317,"2020-02",1232
317,"2020-03",1232
317,"2020-04",995
318,"2020-01",321
318,"2020-02",-342
318,"2020-03",-1648
318,"2020-04",-1648
319,"2020-01",83
319,"2020-02",-703
319,"2020-03",-488
319,"2020-04",-488
320,"2020-01",2426
320,"2020-02",1909
320,"2020-03",2239
320,"2020-04",2851
321,"2020-01",243
321,"2020-02",-213
321,"2020-03",-213
321,"2020-04",572
