"customer_id","txn_date","txn_type","txn_amount","running_balance"
9,"2020-01-25","deposit",180,849
9,"2020-02-15","withdrawal",195,654
9,"2020-03-04","deposit",381,1035
9,"2020-03-05","deposit",982,2017
9,"2020-03-10","deposit",13,2030
9,"2020-03-16","withdrawal",446,1584
9,"2020-04-09","withdrawal",976,608
9,"2020-04-10","withdrawal",699,-91
9,"2020-04-16","deposit",953,862
10,"2020-01-13","deposit",556,556
10,"2020-01-15","purchase",775,-219
10,"2020-01-18","withdrawal",738,-957
10,"2020-01-18","purchase",437,-1394
10,"2020-01-24","withdrawal",746,-2140
10,"2020-01-26","deposit",518,-1622
10,"2020-02-04","withdrawal",830,-2452
10,"2020-02-05","deposit",925,-1527
10,"2020-02-08","purchase",214,-1741
10,"2020-02-13","deposit",399,-1342
10,"2020-03-03","purchase",983,-2325
10,"2020-03-04","withdrawal",282,-2607
10,"2020-03-26","purchase",146,-2753
10,"2020-04-04","withdrawal",328,-3081
10,"2020-04-06","deposit",307,-2774
10,"2020-04-09","withdrawal",492,-3266
10,"2020-04-09","purchase",850,-4116
10,"2020-04-10","purchase",974,-5090
11,"2020-01-19","deposit",60,60
11,"2020-01-20","purchase",409,-349
11,"2020-01-20","purchase",947,-1296
11,"2020-01-20","purchase",448,-1744
11,"2020-02-04","withdrawal",350,-2094
11,"2020-02-25","withdrawal",375,-2469
11,"2020-03-07","deposit",320,-2149
11,"2020-03-15","deposit",549,-1600
11,"2020-03-19","purchase",806,-2406
11,"2020-03-19","deposit",316,-2090
11,"2020-03-20","purchase",302,-2392
11,"2020-03-20","withdrawal",137,-2529
11,"2020-03-23","deposit",178,-2351
11,"2020-03-24","deposit",852,-1499
11,"2020-03-31","purchase",10,-1509
11,"2020-03-31","purchase",579,-2088
11,"2020-04-16","withdrawal",328,-2416
12,"2020-01-13","deposit",202,202
12,"2020-01-28","withdrawal",110,92
12,"2020-03-18","withdrawal",739,-647
12,"2020-03-23","deposit",942,295
13,"2020-01-02","deposit",566,566
13,"2020-01-04","withdrawal",87,479
13,"2020-01-08","deposit",107,586
13,"2020-01-22","deposit",858,1444
13,"2020-01-28","purchase",664,780
13,"2020-02-04","deposit",55,835
13,"2020-02-12","withdrawal",456,379
13,"2020-02-13","deposit",149,528
13,"2020-02-13","deposit",751,1279
13,"2020-03-09","withdrawal",543,736
13,"2020-03-13","withdrawal",95,641
13,"2020-03-14","deposit",665,1306
13,"2020-03-16","deposit",99,1405
14,"2020-01-25","deposit",205,205
14,"2020-02-22","deposit",616,821
14,"2020-04-05","deposit",756,1577
14,"2020-04-05","withdrawal",588,989
15,"2020-01-25","deposit",379,379
15,"2020-04-02","deposit",723,1102
16,"2020-01-13","deposit",421,421
16,"2020-01-17","purchase",529,-108
16,"2020-01-17","withdrawal",814,-922
16,"2020-01-20","purchase",159,-1081
16,"2020-01-22","deposit",239,-842
16,"2020-01-22","purchase",730,-1572
16,"2020-01-25","purchase",160,-1732
16,"2020-01-30","deposit",391,-1341
16,"2020-02-02","deposit",919,-422
16,"2020-02-09","withdrawal",429,-851
16,"2020-02-13","purchase",599,-1450
16,"2020-02-13","withdrawal",928,-2378
16,"2020-02-26","purchase",515,-2893
16,"2020-03-01","withdrawal",314,-3207
16,"2020-03-13","purchase",903,-4110
16,"2020-03-23","withdrawal",174,-4284
16,"2020-04-11","deposit",862,-3422
17,"2020-01-19","deposit",465,465
17,"2020-02-09","withdrawal",915,-450
17,"2020-02-28","purchase",442,-892
18,"2020-01-17","deposit",757,757
18,"2020-02-06","withdrawal",865,-108
18,"2020-02-13","purchase",316,-424
18,"2020-03-08","withdrawal",588,-1012
18,"2020-03-12","deposit",354,-658
18,"2020-03-17","withdrawal",558,-1216
18,"2020-03-25","deposit",374,-842
18,"2020-04-03","deposit",27,-815
19,"2020-01-17","deposit",47,47
19,"2020-01-22","purchase",59,-12
19,"2020-02-06","withdrawal",61,-73
19,"2020-02-21","purchase",178,-251
19,"2020-03-03","deposit",509,258
19,"2020-03-10","withdrawal",559,-301
19,"2020-04-07","deposit",343,42
20,"2020-01-18","deposit",868,868
20,"2020-01-28","withdrawal",403,465
20,"2020-02-06","deposit",512,977
20,"2020-02-13","deposit",40,1017
20,"2020-02-15","withdrawal",156,861
20,"2020-02-24","withdrawal",342,519
20,"2020-03-10","deposit",257,776
21,"2020-01-12","deposit",298,298
21,"2020-01-12","deposit",28,326
21,"2020-01-15","withdrawal",497,-171
21,"2020-01-20","purchase",445,-616
21,"2020-01-27","deposit",412,-204
21,"2020-02-07","purchase",637,-841
21,"2020-02-18","purchase",348,-1189
21,"2020-02-26","deposit",694,-495
21,"2020-02-28","withdrawal",269,-764
21,"2020-03-03","withdrawal",605,-1369
21,"2020-03-03","purchase",28,-1397
21,"2020-03-06","deposit",713,-684
21,"2020-03-17","deposit",103,-581
21,"2020-03-22","withdrawal",406,-987
21,"2020-03-23","purchase",489,-1476
21,"2020-03-30","withdrawal",398,-1874
21,"2020-04-03","withdrawal",531,-2405
21,"2020-04-04","withdrawal",848,-3253
22,"2020-01-19","deposit",794,794
22,"2020-01-28","purchase",559,235
22,"2020-02-02","deposit",490,725
22,"2020-02-04","withdrawal",544,181
22,"2020-02-09","purchase",842,-661
22,"2020-02-11","purchase",783,-1444
22,"2020-02-24","deposit",272,-1172
22,"2020-02-26","deposit",863,-309
22,"2020-02-29","withdrawal",730,-1039
22,"2020-03-05","deposit",532,-507
22,"2020-03-16","deposit",865,358
22,"2020-03-17","withdrawal",370,-12
22,"2020-03-27","purchase",394,-406
22,"2020-03-29","deposit",801,395
22,"2020-03-30","withdrawal",544,-149
22,"2020-04-05","withdrawal",80,-229
22,"2020-04-09","deposit",728,499
22,"2020-04-14","withdrawal",875,-376
22,"2020-04-17","purchase",982,-1358
23,"2020-01-21","deposit",334,334
23,"2020-01-22","purchase",240,94
23,"2020-02-12","withdrawal",408,-314
23,"2020-03-08","deposit",834,520
23,"2020-03-31","purchase",676,-156
23,"2020-04-08","withdrawal",522,-678
24,"2020-01-26","deposit",615,615
24,"2020-02-07","withdrawal",505,110
24,"2020-02-09","withdrawal",149,-39
24,"2020-02-12","deposit",440,401
24,"2020-02-12","purchase",218,183
24,"2020-02-17","deposit",275,458
24,"2020-02-29","deposit",355,813
24,"2020-03-06","purchase",289,524
24,"2020-03-09","deposit",275,799
24,"2020-03-09","purchase",545,254
25,"2020-01-28","deposit",174,174
25,"2020-02-08","deposit",259,433
25,"2020-02-13","withdrawal",833,-400
25,"2020-03-05","deposit",430,30
25,"2020-03-09","withdrawal",123,-93
25,"2020-03-18","withdrawal",629,-722
25,"2020-03-19","deposit",185,-537
25,"2020-03-21","purchase",683,-1220
25,"2020-04-09","deposit",769,-451
25,"2020-04-17","deposit",432,-19
25,"2020-04-24","withdrawal",285,-304
26,"2020-01-17","deposit",878,878
26,"2020-01-26","withdrawal",338,540
26,"2020-01-26","deposit",98,638
26,"2020-02-06","purchase",352,286
26,"2020-02-27","withdrawal",300,-14
26,"2020-02-27","withdrawal",17,-31
26,"2020-03-06","deposit",192,161
26,"2020-03-10","withdrawal",381,-220
26,"2020-03-11","withdrawal",437,-657
26,"2020-03-13","deposit",35,-622
26,"2020-04-04","withdrawal",456,-1078
26,"2020-04-13","withdrawal",792,-1870
27,"2020-01-01","deposit",809,809
27,"2020-01-02","withdrawal",604,205
27,"2020-01-05","deposit",161,366
27,"2020-01-08","deposit",134,500
27,"2020-01-16","withdrawal",263,237
27,"2020-01-21","purchase",843,-606
27,"2020-01-25","withdrawal",583,-1189
27,"2020-02-02","withdrawal",666,-1855
27,"2020-02-07","deposit",734,-1121
27,"2020-02-14","withdrawal",690,-1811
27,"2020-02-16","purchase",505,-2316
27,"2020-02-25","deposit",692,-1624
27,"2020-02-28","deposit",911,-713
27,"2020-03-03","purchase",769,-1482
27,"2020-03-11","withdrawal",992,-2474
27,"2020-03-12","purchase",175,-2649
27,"2020-03-13","deposit",71,-2578
27,"2020-03-14","purchase",490,-3068
27,"2020-03-16","deposit",521,-2547
27,"2020-03-25","purchase",569,-3116
28,"2020-01-20","deposit",451,451
28,"2020-02-02","withdrawal",387,64
28,"2020-02-12","purchase",882,-818
28,"2020-03-16","deposit",274,-544
28,"2020-03-17","withdrawal",501,-1045
28,"2020-03-25","purchase",183,-1228
28,"2020-04-06","deposit",677,-551
28,"2020-04-17","deposit",823,272
29,"2020-01-19","deposit",217,217
29,"2020-01-25","withdrawal",522,-305
29,"2020-01-28","withdrawal",360,-665
29,"2020-01-31","deposit",527,-138
29,"2020-02-09","deposit",937,799
29,"2020-02-13","purchase",509,290
29,"2020-02-15","purchase",366,-76
29,"2020-03-03","withdrawal",834,-910
29,"2020-03-07","deposit",606,-304
29,"2020-03-16","withdrawal",1,-305
29,"2020-03-20","deposit",335,30
29,"2020-03-24","deposit",948,978
29,"2020-03-25","withdrawal",147,831
29,"2020-04-10","withdrawal",682,149
29,"2020-04-10","deposit",800,949
29,"2020-04-16","purchase",576,373
29,"2020-04-17","withdrawal",921,-548
30,"2020-01-26","deposit",33,33
30,"2020-02-28","withdrawal",464,-431
30,"2020-04-01","deposit",392,-39
30,"2020-04-24","deposit",547,508
31,"2020-01-06","deposit",83,83
31,"2020-03-06","purchase",247,-164
31,"2020-03-18","withdrawal",929,-1093
31,"2020-03-24","deposit",952,-141
32,"2020-01-12","deposit",812,812
32,"2020-01-15","purchase",352,460
32,"2020-01-19","purchase",527,-67
32,"2020-01-28","deposit",0,-67
32,"2020-01-28","deposit",97,30
32,"2020-01-29","withdrawal",119,-89
32,"2020-02-09","deposit",957,868
32,"2020-02-12","deposit",215,1083
32,"2020-02-24","withdrawal",707,376
32,"2020-03-10","purchase",483,-107
32,"2020-03-15","withdrawal",517,-624
32,"2020-03-16","purchase",219,-843
32,"2020-04-07","purchase",158,-1001
33,"2020-01-24","deposit",473,473
33,"2020-02-05","withdrawal",321,152
33,"2020-02-08","deposit",176,328
33,"2020-02-14","purchase",778,-450
33,"2020-02-26","deposit",334,-116
33,"2020-03-01","purchase",581,-697
33,"2020-03-01","deposit",18,-679
33,"2020-03-03","deposit",260,-419
33,"2020-03-08","withdrawal",63,-482
33,"2020-03-15","deposit",454,-28
33,"2020-03-18","deposit",732,704
33,"2020-03-26","purchase",351,353
33,"2020-03-29","deposit",872,1225
33,"2020-04-01","purchase",375,850
33,"2020-04-08","purchase",559,291
33,"2020-04-09","deposit",602,893
33,"2020-04-18","deposit",184,1077
33,"2020-04-22","withdrawal",88,989
34,"2020-01-30","deposit",976,976
34,"2020-02-01","purchase",396,580
34,"2020-02-13","withdrawal",510,70
34,"2020-02-26","withdrawal",417,-347
34,"2020-03-05","purchase",165,-512
34,"2020-03-06","deposit",327,-185
35,"2020-01-17","deposit",936,936
35,"2020-01-19","purchase",159,777
35,"2020-01-25","deposit",472,1249
35,"2020-01-25","withdrawal",403,846
35,"2020-01-26","purchase",339,507
35,"2020-02-03","withdrawal",733,-226
35,"2020-02-06","purchase",595,-821
35,"2020-03-01","deposit",305,-516
35,"2020-03-01","purchase",778,-1294
35,"2020-03-13","purchase",706,-2000
35,"2020-03-18","deposit",664,-1336
35,"2020-03-20","deposit",500,-836
35,"2020-03-30","purchase",327,-1163
36,"2020-01-30","deposit",149,149
36,"2020-02-09","deposit",990,1139
36,"2020-02-12","withdrawal",849,290
36,"2020-03-16","purchase",280,10
36,"2020-03-16","deposit",86,96
36,"2020-03-19","deposit",421,517
36,"2020-03-28","deposit",524,1041
36,"2020-04-22","deposit",560,1601
36,"2020-04-28","purchase",610,991
36,"2020-04-28","purchase",564,427
37,"2020-01-29","deposit",946,946
37,"2020-01-30","purchase",861,85
37,"2020-02-03","purchase",331,-246
37,"2020-02-06","deposit",544,298
37,"2020-02-08","purchase",922,-624
37,"2020-02-11","deposit",630,6
37,"2020-02-15","deposit",356,362
37,"2020-02-17","deposit",666,1028
37,"2020-02-20","deposit",711,1739
37,"2020-02-28","purchase",837,902
37,"2020-03-01","withdrawal",54,848
37,"2020-03-12","withdrawal",360,488
37,"2020-03-23","purchase",351,137
37,"2020-03-30","purchase",396,-259
37,"2020-03-30","withdrawal",810,-1069
37,"2020-04-12","purchase",80,-1149
37,"2020-04-14","deposit",371,-778
37,"2020-04-14","withdrawal",812,-1590
37,"2020-04-17","deposit",190,-1400
37,"2020-04-24","deposit",371,-1029
37,"2020-04-25","deposit",730,-299
37,"2020-04-26","purchase",660,-959
38,"2020-01-21","purchase",28,-28
38,"2020-01-21","deposit",367,339
38,"2020-01-27","purchase",700,-361
38,"2020-01-30","deposit",728,367
38,"2020-02-11","deposit",475,842
38,"2020-02-14","purchase",894,-52
38,"2020-02-14","deposit",83,31
38,"2020-02-21","purchase",496,-465
38,"2020-03-04","purchase",788,-1253
38,"2020-03-07","purchase",42,-1295
38,"2020-03-16","deposit",410,-885
38,"2020-03-18","deposit",354,-531
38,"2020-03-18","purchase",128,-659
38,"2020-03-22","deposit",724,65
38,"2020-03-25","purchase",628,-563
38,"2020-03-26","purchase",235,-798
38,"2020-04-07","deposit",759,-39
38,"2020-04-11","deposit",152,113
38,"2020-04-19","withdrawal",409,-296
38,"2020-04-19","purchase",950,-1246
39,"2020-01-22","deposit",996,996
39,"2020-01-22","deposit",433,1429
39,"2020-02-01","deposit",608,2037
39,"2020-02-10","deposit",73,2110
39,"2020-02-15","deposit",792,2902
39,"2020-02-19","withdrawal",281,2621
39,"2020-02-27","purchase",233,2388
39,"2020-03-04","deposit",536,2924
39,"2020-03-25","withdrawal",409,2515
39,"2020-03-27","withdrawal",55,2460
39,"2020-04-01","purchase",375,2085
39,"2020-04-04","purchase",28,2057
39,"2020-04-08","withdrawal",240,1817
39,"2020-04-09","deposit",939,2756
39,"2020-04-09","withdrawal",529,2227
39,"2020-04-13","withdrawal",644,1583
39,"2020-04-17","deposit",933,2516
40,"2020-01-21","deposit",857,857
40,"2020-01-26","withdrawal",510,347
40,"2020-02-11","deposit",914,1261
40,"2020-02-13","withdrawal",630,631
40,"2020-02-16","purchase",737,-106
40,"2020-02-20","deposit",401,295
40,"2020-03-05","deposit",934,1229
40,"2020-03-11","purchase",275,954
40,"2020-03-20","purchase",712,242
40,"2020-03-25","deposit",417,659
40,"2020-04-03","withdrawal",867,-208
41,"2020-01-30","deposit",790,790
41,"2020-01-31","withdrawal",836,-46
41,"2020-02-02","deposit",443,397
41,"2020-02-06","deposit",84,481
41,"2020-02-23","deposit",898,1379
41,"2020-03-05","deposit",914,2293
41,"2020-03-12","purchase",293,2000
41,"2020-03-12","deposit",151,2151
41,"2020-03-15","purchase",397,1754
41,"2020-03-22","deposit",232,1986
41,"2020-03-23","deposit",582,2568
41,"2020-03-25","deposit",872,3440
41,"2020-03-26","deposit",65,3505
41,"2020-03-26","purchase",617,2888
41,"2020-03-27","deposit",689,3577
41,"2020-03-30","purchase",136,3441
41,"2020-04-04","withdrawal",177,3264
41,"2020-04-25","withdrawal",739,2525
42,"2020-01-11","deposit",154,154
42,"2020-01-21","deposit",989,1143
42,"2020-01-28","withdrawal",696,447
42,"2020-02-04","purchase",457,-10
42,"2020-02-09","deposit",9,-1
42,"2020-02-14","deposit",900,899
42,"2020-02-24","purchase",897,2
42,"2020-02-25","deposit",210,212
42,"2020-02-29","deposit",855,1067
42,"2020-03-02","purchase",675,392
42,"2020-03-03","withdrawal",163,229
42,"2020-03-14","purchase",662,-433
42,"2020-03-30","purchase",454,-887
42,"2020-04-09","withdrawal",999,-1886
43,"2020-01-28","deposit",318,318
43,"2020-01-31","withdrawal",519,-201
43,"2020-02-09","deposit",875,674
43,"2020-02-14","withdrawal",96,578
43,"2020-02-20","purchase",314,264
43,"2020-02-23","purchase",670,-406
43,"2020-03-08","deposit",971,565
43,"2020-03-18","withdrawal",412,153
43,"2020-03-27","deposit",716,869
43,"2020-04-07","purchase",842,27
43,"2020-04-24","deposit",518,545
44,"2020-01-19","deposit",71,71
44,"2020-01-20","withdrawal",761,-690
44,"2020-02-12","deposit",671,-19
44,"2020-04-08","purchase",320,-339
45,"2020-01-14","deposit",650,650
45,"2020-01-15","deposit",392,1042
45,"2020-01-16","purchase",296,746
45,"2020-01-17","deposit",915,1661
45,"2020-01-18","purchase",281,1380
45,"2020-01-24","withdrawal",656,724
45,"2020-01-25","deposit",997,1721
45,"2020-01-27","purchase",465,1256
45,"2020-01-30","purchase",316,940
45,"2020-02-03","withdrawal",760,180
45,"2020-02-13","withdrawal",11,169
45,"2020-02-15","withdrawal",10,159
45,"2020-02-18","withdrawal",983,-824
45,"2020-02-28","purchase",328,-1152
45,"2020-03-05","deposit",357,-795
45,"2020-03-09","deposit",609,-186
45,"2020-03-29","deposit",434,248
45,"2020-03-31","deposit",336,584
46,"2020-01-23","deposit",356,356
46,"2020-01-24","purchase",495,-139
46,"2020-01-31","deposit",661,522
46,"2020-02-15","purchase",104,418
46,"2020-02-16","deposit",970,1388
46,"2020-03-03","deposit",101,1489
46,"2020-03-04","purchase",294,1195
46,"2020-03-14","purchase",574,621
46,"2020-03-23","withdrawal",541,80
46,"2020-04-01","purchase",885,-805
46,"2020-04-03","deposit",631,-174
46,"2020-04-14","purchase",152,-326
46,"2020-04-20","deposit",430,104
47,"2020-01-22","deposit",203,203
47,"2020-01-22","purchase",447,-244
47,"2020-01-26","withdrawal",554,-798
47,"2020-01-31","withdrawal",822,-1620
47,"2020-01-31","deposit",467,-1153
47,"2020-02-03","purchase",35,-1188
47,"2020-02-04","withdrawal",647,-1835
47,"2020-02-12","deposit",496,-1339
47,"2020-02-14","deposit",307,-1032
47,"2020-02-14","purchase",532,-1564
47,"2020-02-26","deposit",281,-1283
47,"2020-03-05","purchase",466,-1749
47,"2020-03-15","withdrawal",707,-2456
47,"2020-03-26","withdrawal",275,-2731
47,"2020-03-28","deposit",867,-1864
47,"2020-03-31","withdrawal",998,-2862
47,"2020-04-08","purchase",307,-3169
48,"2020-01-01","deposit",427,427
48,"2020-01-09","withdrawal",784,-357
48,"2020-01-14","purchase",144,-501
48,"2020-01-14","purchase",534,-1035
48,"2020-01-23","purchase",339,-1374
48,"2020-01-23","withdrawal",955,-2329
48,"2020-01-23","withdrawal",440,-2769
48,"2020-01-25","withdrawal",236,-3005
48,"2020-01-27","deposit",166,-2839
48,"2020-01-29","deposit",471,-2368
48,"2020-02-05","purchase",950,-3318
48,"2020-02-15","withdrawal",199,-3517
48,"2020-02-16","purchase",84,-3601
48,"2020-02-17","withdrawal",38,-3639
48,"2020-02-23","deposit",856,-2783
48,"2020-02-29","withdrawal",189,-2972
48,"2020-03-07","purchase",600,-3572
48,"2020-03-17","deposit",472,-3100
48,"2020-03-26","purchase",645,-3745
49,"2020-01-04","deposit",432,432
49,"2020-01-15","purchase",127,305
49,"2020-01-19","withdrawal",712,-407
49,"2020-01-25","deposit",541,134
49,"2020-01-27","withdrawal",531,-397
49,"2020-02-11","withdrawal",790,-1187
49,"2020-02-24","deposit",83,-1104
49,"2020-02-28","deposit",510,-594
49,"2020-03-02","deposit",295,-299
49,"2020-03-02","withdrawal",681,-980
49,"2020-03-04","deposit",699,-281
49,"2020-03-05","purchase",806,-1087
49,"2020-03-14","deposit",366,-721
49,"2020-03-20","purchase",85,-806
49,"2020-03-21","purchase",521,-1327
49,"2020-03-23","deposit",760,-567
49,"2020-03-25","withdrawal",736,-1303
49,"2020-03-27","purchase",644,-1947
49,"2020-03-30","purchase",609,-2556
50,"2020-01-29","deposit",899,899
50,"2020-01-31","deposit",32,931
50,"2020-02-02","withdrawal",774,157
50,"2020-02-08","withdrawal",870,-713
50,"2020-02-13","deposit",279,-434
50,"2020-02-18","purchase",240,-674
50,"2020-03-01","deposit",249,-425
50,"2020-03-10","deposit",640,215
50,"2020-03-13","purchase",324,-109
50,"2020-03-20","withdrawal",21,-130
50,"2020-03-22","deposit",969,839
50,"2020-03-24","purchase",564,275
50,"2020-04-14","purchase",60,215
50,"2020-04-24","deposit",235,450
51,"2020-01-20","deposit",367,367
51,"2020-01-25","withdrawal",66,301
51,"2020-02-01","purchase",905,-604
51,"2020-02-02","purchase",150,-754
51,"2020-02-22","deposit",49,-705
51,"2020-02-29","deposit",608,-97
51,"2020-03-19","deposit",707,610
51,"2020-03-22","deposit",760,1370
51,"2020-03-27","purchase",591,779
51,"2020-04-12","deposit",72,851
51,"2020-04-16","deposit",513,1364
52,"2020-01-12","deposit",908,908
52,"2020-01-26","deposit",232,1140
52,"2020-02-05","deposit",819,1959
52,"2020-02-15","deposit",653,2612
53,"2020-01-24","deposit",22,22
53,"2020-02-04","deposit",188,210
53,"2020-03-21","purchase",285,-75
53,"2020-03-23","withdrawal",881,-956
53,"2020-03-24","deposit",228,-728
53,"2020-04-20","purchase",187,-915
53,"2020-04-20","deposit",933,18
53,"2020-04-22","deposit",209,227
54,"2020-01-09","deposit",138,138
54,"2020-01-26","deposit",736,874
54,"2020-01-29","deposit",677,1551
54,"2020-01-30","deposit",107,1658
54,"2020-02-19","purchase",29,1629
54,"2020-03-24","purchase",922,707
54,"2020-03-29","withdrawal",174,533
54,"2020-04-03","deposit",435,968
55,"2020-01-25","deposit",380,380
55,"2020-02-01","purchase",558,-178
55,"2020-02-12","withdrawal",570,-748
55,"2020-02-15","deposit",408,-340
55,"2020-02-15","purchase",806,-1146
55,"2020-02-17","deposit",139,-1007
55,"2020-02-28","deposit",597,-410
55,"2020-03-03","withdrawal",55,-465
55,"2020-03-23","deposit",814,349
55,"2020-04-02","purchase",585,-236
55,"2020-04-06","purchase",277,-513
56,"2020-01-18","deposit",864,864
56,"2020-01-23","withdrawal",412,452
56,"2020-01-29","purchase",519,-67
56,"2020-02-01","deposit",122,55
56,"2020-02-05","purchase",735,-680
56,"2020-02-12","purchase",213,-893
56,"2020-02-14","purchase",37,-930
56,"2020-02-17","withdrawal",716,-1646
56,"2020-03-02","withdrawal",523,-2169
56,"2020-03-03","purchase",744,-2913
56,"2020-03-07","deposit",224,-2689
56,"2020-03-13","purchase",99,-2788
56,"2020-03-20","deposit",218,-2570
56,"2020-03-30","deposit",495,-2075
56,"2020-04-02","deposit",117,-1958
56,"2020-04-04","withdrawal",302,-2260
56,"2020-04-07","purchase",873,-3133
56,"2020-04-08","withdrawal",326,-3459
56,"2020-04-12","withdrawal",407,-3866
57,"2020-01-06","deposit",907,907
57,"2020-01-21","purchase",469,438
57,"2020-01-24","purchase",202,236
57,"2020-01-24","deposit",178,414
57,"2020-02-13","purchase",515,-101
57,"2020-03-03","purchase",765,-866
58,"2020-01-11","deposit",726,726
58,"2020-01-13","withdrawal",775,-49
58,"2020-01-19","deposit",432,383
58,"2020-02-02","deposit",866,1249
58,"2020-02-08","deposit",333,1582
58,"2020-02-14","purchase",415,1167
58,"2020-02-25","deposit",937,2104
58,"2020-02-28","purchase",407,1697
58,"2020-03-06","withdrawal",425,1272
58,"2020-03-10","purchase",358,914
58,"2020-03-17","withdrawal",210,704
58,"2020-03-20","withdrawal",939,-235
58,"2020-03-22","purchase",958,-1193
58,"2020-03-23","deposit",237,-956
58,"2020-03-27","purchase",240,-1196
58,"2020-04-02","purchase",384,-1580
58,"2020-04-02","deposit",945,-635
59,"2020-01-20","deposit",924,924
59,"2020-02-07","deposit",570,1494
59,"2020-02-09","deposit",50,1544
59,"2020-02-13","deposit",646,2190
59,"2020-03-02","withdrawal",105,2085
59,"2020-03-26","withdrawal",433,1652
59,"2020-04-15","purchase",854,798
60,"2020-01-19","deposit",495,495
60,"2020-01-26","deposit",113,608
60,"2020-01-30","purchase",797,-189
60,"2020-02-01","deposit",857,668
60,"2020-03-02","deposit",188,856
60,"2020-03-16","withdrawal",674,182
60,"2020-03-31","withdrawal",927,-745
60,"2020-04-02","withdrawal",424,-1169
61,"2020-01-21","deposit",319,319
61,"2020-01-22","purchase",752,-433
61,"2020-01-24","deposit",587,154
61,"2020-01-29","withdrawal",14,140
61,"2020-01-29","deposit",82,222
61,"2020-02-02","deposit",518,740
61,"2020-02-06","deposit",6,746
61,"2020-02-09","withdrawal",689,57
61,"2020-02-19","deposit",332,389
61,"2020-02-29","withdrawal",66,323
61,"2020-03-17","deposit",897,1220
61,"2020-03-17","withdrawal",509,711
61,"2020-03-18","deposit",322,1033
61,"2020-03-23","purchase",309,724
61,"2020-03-24","withdrawal",989,-265
61,"2020-03-26","withdrawal",497,-762
61,"2020-03-26","withdrawal",773,-1535
61,"2020-03-27","purchase",552,-2087
61,"2020-03-31","purchase",480,-2567
61,"2020-03-31","deposit",857,-1710
61,"2020-04-04","purchase",845,-2555
61,"2020-04-15","deposit",318,-2237
62,"2020-01-16","deposit",218,218
62,"2020-01-24","purchase",430,-212
62,"2020-03-16","purchase",551,-763
63,"2020-01-06","deposit",234,234
63,"2020-01-10","purchase",253,-19
63,"2020-01-16","purchase",88,-107
63,"2020-01-25","purchase",225,-332
63,"2020-02-08","purchase",432,-764
63,"2020-02-11","deposit",363,-401
63,"2020-02-23","withdrawal",396,-797
63,"2020-02-24","withdrawal",156,-953
63,"2020-03-06","withdrawal",151,-1104
63,"2020-03-10","withdrawal",932,-2036
63,"2020-03-12","purchase",618,-2654
63,"2020-03-23","withdrawal",727,-3381
